sample,Id,Iq,theta_elec,omega_elec
160,0.0929825,0.805213,2.92796,0
161,0.14217,0.788737,2.97823,0
162,0.201929,0.79932,3.03478,0
163,0.268326,0.813867,3.08505,0
164,0.310409,0.791359,3.14159,0
165,0.371284,0.785779,3.19186,0
166,0.42075,0.750781,3.24841,0
167,0.472329,0.708066,3.29867,0
168,0.509032,0.668431,3.35522,0
169,0.554081,0.619967,3.40549,0
170,0.570431,0.570519,3.45575,0
171,0.586508,0.517371,3.5123,0
172,0.624495,0.481549,3.56257,0
173,0.634056,0.413292,3.61912,0
174,0.635766,0.3496,3.66938,0
175,0.639706,0.303941,3.71965,0
176,0.627983,0.235315,3.77619,0
177,0.639013,0.203465,3.82646,0
178,0.613771,0.153573,3.87673,0
179,0.587725,0.109823,3.93328,0
180,0.56983,0.0692649,3.98354,0
181,0.530591,0.0156418,4.03381,0
182,0.493184,-0.0210548,4.08407,0
183,0.453176,-0.0567767,4.14062,0
184,0.404398,-0.0854201,4.19089,0
185,0.357167,-0.115506,4.24115,0
186,0.283138,-0.144544,4.29142,0
187,0.19853,-0.177286,4.34168,0
188,0.13887,-0.207472,4.39195,0
189,0.0663287,-0.216866,4.44221,0
190,-0.0317521,-0.217951,4.49248,0
191,-0.145651,-0.223106,4.54275,0
192,-0.214016,-0.203326,4.59929,0
193,-0.296748,-0.189906,4.64956,0
194,-0.40265,-0.168996,4.69982,0
195,-0.476378,-0.12862,4.75009,0
196,-0.546899,-0.0813138,4.80035,0
197,-0.630216,-0.0144439,4.85062,0
198,-0.704019,0.0490849,4.90089,0
199,-0.737626,0.11134,4.95115,0
200,-0.803392,0.180674,5.00142,0
201,-0.854693,0.264671,5.05168,0
202,-0.908989,0.346785,5.10195,0
203,-0.933135,0.400555,5.15221,0
204,-0.965129,0.475368,5.20248,0
205,-0.985256,0.54236,5.25903,0
206,-1.00672,0.625134,5.30929,0
207,-0.990604,0.68307,5.35956,0
208,-0.991774,0.744566,5.40982,0
209,-0.994903,0.829019,5.46637,0
210,-0.978822,0.93599,5.51664,0
211,-0.951766,1.0296,5.5669,0
