sample,vbus
0,21.1915
1,20.9792
2,21.021
3,21.0615
4,21.037
5,21.0388
6,21.0405
7,21.0103
8,20.9747
9,20.9912
10,20.9816
11,20.9469
12,20.9452
13,20.9307
14,20.9103
15,20.9288
16,20.9595
17,20.9701
18,20.9867
19,21.0283
20,21.0176
21,20.9817
22,21.0044
23,20.9817
24,20.9725
25,21.0017
26,21.0046
27,20.9947
28,21.0169
29,21.0448
30,21.0527
31,21.0667
32,21.0739
33,21.0618
34,21.0501
35,21.0769
36,21.0711
37,21.0527
38,21.0667
39,21.042
40,21.0054
41,21.0082
42,21.0045
43,20.9436
44,20.9355
45,20.915
46,20.876
47,20.8892
48,20.9594
49,20.9699
50,20.9611
51,20.9971
52,20.9938
53,20.9778
54,21.0196
55,21.0793
56,21.0861
57,21.08
58,21.125
59,21.1113
60,21.1171
61,21.161
62,21.127
63,21.0877
64,21.0688
65,20.974
66,20.9013
67,20.9137
68,20.9321
69,20.9117
70,20.9046
71,20.9042
72,20.8719
73,20.8725
74,20.8794
75,20.8607
76,20.8489
77,20.8502
78,20.8387
79,20.8149
80,20.8109
81,20.8197
82,20.8029
83,20.8247
84,20.8587
85,20.866
86,20.8477
87,20.8745
88,20.8432
89,20.8383
90,20.8654
91,20.8726
92,20.8158
93,20.8182
94,20.8268
95,20.8225
96,20.8628
97,20.9083
98,20.9524
99,20.9887
100,20.9983
101,20.9758
102,21.005
103,21.0524
104,21.0537
105,21.0549
106,21.1135
107,21.1384
108,21.1816
109,21.2361
110,21.2189
111,21.1895
112,21.2183
113,21.2399
114,21.2098
115,21.2253
116,21.2148
117,21.1855
118,21.1762
119,21.2437
120,21.239
121,21.2408
122,21.2553
123,21.2374
124,21.2202
125,21.2353
126,21.2309
127,21.1947
