sample,vbus
0,66.062
1,66.0256
2,66.0285
3,66.0123
4,66.0284
5,66.0186
6,66.0026
7,65.9362
8,65.9038
9,65.8724
10,65.861
11,65.8692
12,65.9025
13,65.8456
14,65.8224
15,65.8254
16,65.7964
17,65.7875
18,65.8552
19,65.8253
20,65.79
21,65.8513
22,65.8789
23,65.8737
24,65.9324
25,65.9893
26,65.9934
27,66.0038
28,66.0074
29,65.9791
30,66.0026
31,66.0637
32,66.1037
33,66.1106
34,66.1746
35,66.1665
36,66.1523
37,66.1895
38,66.2001
39,66.1976
40,66.2525
41,66.2547
42,66.225
43,66.2408
44,66.3071
45,66.3203
46,66.3523
47,66.3959
48,66.349
49,66.3291
50,66.3799
51,66.359
52,66.3515
53,66.3442
54,66.3053
55,66.2294
56,66.2196
57,66.2101
58,66.1945
59,66.1858
60,66.1965
61,66.2068
62,66.2041
63,66.1824
64,66.1422
65,66.116
66,66.1097
67,66.0973
68,66.0598
69,66.0298
70,65.9944
71,65.9601
72,65.9843
73,65.9694
74,66.006
75,66.067
76,66.1005
77,66.1202
78,66.2285
79,66.2761
80,66.2839
81,66.2979
82,66.3178
83,66.3052
84,66.2739
85,66.2627
86,66.2391
87,66.3055
88,66.4335
89,66.4618
90,66.4001
91,66.4104
92,66.3822
93,66.374
94,66.4361
95,66.458
96,66.4474
97,66.4371
98,66.4017
99,66.361
100,66.398
101,66.4657
102,66.4549
103,66.438
104,66.4599
105,66.4364
106,66.4201
107,66.4872
108,66.533
109,66.5391
110,66.5451
111,66.5381
112,66.5696
113,66.6255
114,66.6734
115,66.707
116,66.7395
117,66.7519
118,66.7129
119,66.7325
120,66.7579
121,66.7442
122,66.7374
123,66.7435
124,66.692
125,66.6613
126,66.6953
127,66.6836
